,Unnamed: 0, Latitude, Longitude, Status
0,0,52.347.277,484.719,doubt
1,1,52.382.417,4.885.611,doubt
2,2,52.378.049,4.823.713,success
3,3,52.383.771,4.871.866,success
4,4,52.367.455,4.862.214,success
5,5,5.236.685,4.885.493,success
6,6,52.362.457,4.979.589,doubt
7,7,52.356.321,4.838.934,success
8,8,52.349.665,4.797.743,success
9,9,5.235.008,4.922.676,success
10,10,52.341.869,489.344,success
11,11,52.356.458,4.869.726,success
12,12,52.332.122,4.888.758,success
13,13,52.349.873,4.903.033,doubt
14,14,52.371.294,4.879.935,success
15,15,52.353.543,4.902.691,success
16,16,5.238.313,4.877.624,success
17,17,52.295.758,4.969.133,success
18,18,52.363.891,4.876.734,success
19,19,52.343.066,4.897.824,doubt
20,20,52.366.516,4.891.502,success
21,21,52.358.039,4.859.196,success
22,22,52.371.387,490.253,success
23,23,52.361.416,4.862.565,success
24,24,52.384.635,4.884.627,success
25,25,52.378.507,4.801.399,doubt
26,26,52.345.615,4.859.659,doubt
27,27,52.362.122,4.898.975,success
28,28,52.355.141,4.837.472,success
29,29,52.355.141,4.837.472,success
30,30,52.362.398,486.615,doubt
31,31,52.364.293,4.899.411,doubt
32,32,489.973,doubt,
33,33,52.347.187,4.908.138,success
34,34,52.353.083,4.851.792,success
35,35,52.361.769,4.862.475,success
36,36,52.321.532,4.943.245,success
37,37,52.370.888,4.930.453,success
38,38,52.324.934,4.859.314,success
39,39,52.324.708,4.875.113,success
40,40,52.327.337,4.858.141,success
41,41,523.775,4.869.694,success
42,42,52.364.336,4.892.515,doubt
43,43,52.378.412,4.835.142,doubt
44,44,52.369.105,4.862.561,doubt
45,45,5.236.485,4.938.164,doubt
46,46,52.348.776,4.904.201,success
47,47,52.365.499,4.852.004,doubt
48,48,52.358.485,4.919.766,doubt
49,49,52.383.919,4.819.766,success
50,50,52.356.458,4.869.726,success
51,51,52.345.106,4.915.529,success
52,52,52.342.081,4.877.511,doubt
53,53,52.410.984,4.917.338,success
54,54,5.237.636,4.856.558,success
55,55,52.361.769,4.862.475,success
56,56,52.377.517,4.850.375,success
57,57,52.349.368,4.862.487,doubt
58,58,52.364.394,493.397,doubt
59,59,489.973,doubt,
60,60,52.374.193,4.876.384,success
61,61,5.236.547,4.912.749,success
62,62,52.373.158,4.838.783,success
63,63,52.364.101,4.932.519,success
64,64,52.382.417,4.885.611,success
65,65,52.354.812,4.901.037,doubt
66,66,52.354.812,4.901.037,doubt
67,67,52.369.219,4.858.385,success
68,68,52.383,488.131,success
69,69,52.362.854,48.753,success
70,70,52.339.568,4.919.455,success
71,71,52.375.513,4.898.103,doubt
72,72,52.354.289,4.892.857,doubt
73,73,489.973,doubt,
74,74,52.361.659,4.937.947,doubt
75,75,52.356.234,4.895.976,success
76,76,52.377.634,4.879.553,success
77,77,52.374.377,4.892.204,success
78,78,52.365.048,4.898.317,doubt
79,79,52.353.397,4.885.807,success
80,80,52.342.107,4.902.795,success
81,81,52.343.785,4.826.893,success
82,82,52.367.586,4.873.204,doubt
83,83,52.349.243,4.848.589,doubt
84,84,52.390.045,4.876.475,success
85,85,52.362.871,4.888.327,doubt
86,86,52.321.782,4.977.894,success
87,87,52.345.487,4.871.384,success
88,88,489.973,doubt,
89,89,52.353.744,4.897.897,doubt
90,90,52.391.243,4.875.186,success
91,91,52.391.243,4.875.186,success
92,92,52.391.243,4.875.186,success
93,93,52.352.395,4.848.023,doubt
94,94,52.391.243,4.875.186,success
95,95,52.391.243,4.875.186,success
96,96,52.379.823,4.849.554,doubt
97,97,52.382.417,4.885.611,doubt
98,98,52.391.243,4.875.186,success
99,99,52.298.977,4.955.994,doubt
100,100,52.370.522,4.905.063,success
101,101,52.375.858,4.891.292,success
102,102,52.293.867,4.978.268,success
103,103,52.375.528,4.890.916,success
104,104,5.235.595,4.892.368,success
105,105,52.354.309,5.002.371,success
106,106,52.352.802,4.803.402,doubt
107,107,52.349.281,4.848.914,doubt
108,108,594.189,success,
109,109,52.350.263,4.846.845,success
110,110,52.393.417,4.939.021,doubt
111,111,52.370.324,4.910.563,doubt
112,112,52.373.244,4.897.036,doubt
113,113,52.706.448,6.855.158,doubt
114,114,52.350.062,4.840.298,doubt
115,115,52.372.452,4.896.855,success
116,116,52.335.851,4.872.888,success
117,117,52.369.735,4.913.946,doubt
118,118,52.350.938,4.853.867,success
119,119,52.381.426,4.868.992,success
120,120,52.336.678,4.877.193,success
121,121,52.388.644,4.881.382,success
122,122,52.369.369,4.907.604,success
123,123,5.235.139,4.853.946,success
