,Address,Postcode,Size in m²,Rooms,Prize in €
0,"Apartment Brouwersgracht 248 K


                       ", 1013 HE ,60 ,2,"2,150"
0,"Apartment Brouwersgracht 248 C


                       ", 1013 HE ,78 ,2,"3,000"
0,"Apartment Cliffordstraat


new
                       ", 1051 GS ,50 ,2,"2,000"
0,"Apartment Baarsjesweg


new
                       ", 1058 AG ,60 ,3,"4,000"
0,"Apartment Keizersgracht 421


new
                       ", 1017 DJ ,38 ,1,"2,500"
0,"Apartment Jan Olphert Vaillantlaan


                       ", 1086 ZA ,50 ,4,"2,500"
0,"Apartment Koningin Wilhelminaplein


                       ", 1062 HJ ,62 ,2,"2,150"
0,"Apartment Jan van Zutphenstraat 779


                       ", 1069 RS ,98 ,2,"3,500"
0,"Apartment James Wattstraat


                       ", 1097 DL ,62 ,2,"3,500"
0,"Apartment Dintelstraat


                       ", 1078 VX ,80 ,3,"3,950"
0,"Apartment Van Eeghenstraat


                       ", 1071 GE ,30 ,5,"4,700"
0,"Apartment Arent Janszoon Ernststraat


                       ", 1082 LD ,30 ,1,"2,500"
0,"Apartment Mauvestraat 47 I


                       ", 1073 RH ,60 ,3,"2,500"
0,"Apartment Lauriergracht


                       ", 1016 RK ,90 ,5,"5,000"
0,"Apartment Kuipersstraat


                       ", 1073 ER ,40 ,1,"2,150"
0,"Apartment De Wittenkade 97 A


                       ", 1052 AG ,61 ,3,"3,050"
0,"Apartment Millingenhof 233


                       ", 1106 KP ,25 ,4,"2,000"
0,"Apartment Eerste Helmersstraat


                       ", 1054 DS ,58 ,3,"3,500"
0,"Apartment Rooseveltlaan 167 III


                       ", 1079 AM ,18 ,4,"5,000"
0,"Apartment Geelvinckssteeg 6 3


                       ", 1017 BE ,85 ,3,"2,500"
0,, 1064 CZ ,12 ,1,€1500
0,"Apartment Frederiksstraat


                       ", 1054 LB ,45 ,2,"3,000"
0,"Apartment Korte Keizersstraat


                       ", 1011 GH ,33 ,2,"2,350"
0,"Apartment Wilhelminastraat


                       ", 1054 WH ,75 ,3,"2,000"
0,"Apartment Kleine Houtstraat


                       ", 1013 HN ,94 ,3,"3,500"
0,"Apartment Lambertus Zijlplein 35


                       ", 1067 JR ,84 ,3,"2,000"
0,"Apartment Stadionweg


                       ", 1077 SR ,80 ,3,"2,500"
0,"Apartment Prinsengracht


                       ", 1016 HJ ,35 ,1,"1,700"
0,"Apartment Koningin Wilhelminaplein


                       ", 1062 KS ,00 ,4,"3,500"
0,"Apartment Koningin Wilhelminaplein


                       ", 1062 KS ,00 ,4,"2,200"
0,"Apartment Wilhelminastraat 28 2


                       ", 1054 WJ ,52 ,2,"2,500"
0,"Apartment Keizersgracht 735 II


                       ", 1017 DZ ,83 ,2,"3,500"
0,"Apartment Brouwersgracht 248 A


                       ", 1013 HE ,78 ,2,"4,000"
0,"Apartment Brouwersgracht 248 K


                       ", 1013 HE ,60 ,2,"2,150"
0,"Apartment Legmeerplein


                       ", 1058 NL ,65 ,3,"3,000"
0,"Apartment Staringstraat


                       ", 1054 VS ,48 ,2,"2,150"
0,"Apartment Andersensingel


                       ", 1102 VS ,55 ,2,"2,300"
0,"Apartment Czaar Peterstraat 149 3


                       ", 1018 PH ,60 ,4,"2,000"
0,"Apartment Bolestein 546 A


                       ", 1081 EJ ,88 ,3,"2,800"
0,"Apartment Backershagen


                       ", 1082 GR ,30 ,4,"5,000"
0,"Apartment Van Nijenrodeweg


                       ", 1083 EK ,90 ,4,"3,000"
0,"Apartment Visseringstraat


                       ", 1051 KG ,86 ,3,"4,450"
0,"Apartment Keizersgracht


                       ", 1015 CW ,70 ,2,"3,500"
0,"Apartment Dirk Bonsstraat


                       ", 1063 TX ,48 ,2,"1,250"
0,"Apartment Kortenaerstraat 19 1


                       ", 1057 JL ,68 ,2,"4,000"
0,"Apartment Djambistraat 27 3


                       ", 1094 AX ,47 ,2,"2,150"
0,"Apartment Rijnstraat


                       ", 1078 RB ,75 ,3,"4,050"
0,"Apartment Van Spilbergenstraat 35 2


                       ", 1057 PX ,55 ,3,"2,300"
0,"Apartment Oosterpark 35 B


                       ", 1092 AL ,76 ,3,"3,650"
