Postcodegebied,Datum,Type delict,Latitude,Longitude
1011,14.04.2021,Woninginbraak,52.371796,4.905166
1011,02.03.2021,Woninginbraak,52.371796,4.905166
1012,24.05.2021,Woninginbraak,52.373809,4.895342
1012,09.05.2021,Woninginbraak,52.373809,4.895342
1012,13.04.2021,Woninginbraak,52.373809,4.895342
1012,07.04.2021,Woninginbraak,52.373809,4.895342
1012,16.03.2021,Woninginbraak,52.373809,4.895342
1012,27.02.2021,Woninginbraak,52.373809,4.895342
1013,19.05.2021,Woninginbraak,52.39589,4.874602
1013,12.05.2021,Woninginbraak,52.39589,4.874602
1013,12.05.2021,Woninginbraak,52.39589,4.874602
1013,29.04.2021,Woninginbraak,52.39589,4.874602
1013,12.04.2021,Woninginbraak,52.39589,4.874602
1013,12.04.2021,Woninginbraak,52.39589,4.874602
1013,11.04.2021,Poging tot woninginbraak,52.39589,4.874602
1013,31.03.2021,Woninginbraak,52.39589,4.874602
1013,24.03.2021,Poging tot woninginbraak,52.39589,4.874602
1013,15.03.2021,Woninginbraak,52.39589,4.874602
1013,13.03.2021,Woninginbraak,52.39589,4.874602
1013,28.02.2021,Woninginbraak,52.39589,4.874602
1013,26.02.2021,Woninginbraak,52.39589,4.874602
1014,16.05.2021,Woninginbraak,52.391535,4.860635
1014,03.05.2021,Woninginbraak,52.391535,4.860635
1014,03.03.2021,Poging tot woninginbraak,52.391535,4.860635
1015,26.04.2021,Woninginbraak,52.378154,4.884288
1015,09.03.2021,Woninginbraak,52.378154,4.884288
1015,05.03.2021,Woninginbraak,52.378154,4.884288
1016,23.05.2021,Woninginbraak,52.370912,4.88207
1016,01.05.2021,Woninginbraak,52.370912,4.88207
1016,28.04.2021,Woninginbraak,52.370912,4.88207
1016,06.03.2021,Woninginbraak,52.370912,4.88207
1017,18.05.2021,Woninginbraak,52.362182,4.893462
1017,10.05.2021,Poging tot woninginbraak,52.362182,4.893462
1017,23.03.2021,Woninginbraak,52.362182,4.893462
1018,10.05.2021,Woninginbraak,52.36734,4.91761
1018,04.05.2021,Woninginbraak,52.36734,4.91761
1018,29.04.2021,Poging tot woninginbraak,52.36734,4.91761
1018,25.04.2021,Woninginbraak,52.36734,4.91761
1018,20.04.2021,Poging tot woninginbraak,52.36734,4.91761
1018,18.04.2021,Woninginbraak,52.36734,4.91761
1018,03.04.2021,Woninginbraak,52.36734,4.91761
1018,03.04.2021,Woninginbraak,52.36734,4.91761
1018,01.03.2021,Poging tot woninginbraak,52.36734,4.91761
1018,01.03.2021,Woninginbraak,52.36734,4.91761
1018,01.03.2021,Woninginbraak,52.36734,4.91761
1019,09.05.2021,Poging tot woninginbraak,52.373785,4.930497
1019,08.05.2021,Poging tot woninginbraak,52.373785,4.930497
1019,25.04.2021,Woninginbraak,52.373785,4.930497
1019,08.04.2021,Woninginbraak,52.373785,4.930497
1019,06.03.2021,Woninginbraak,52.373785,4.930497
1022,02.05.2021,Woninginbraak,52.394752,4.931346
1022,30.04.2021,Woninginbraak,52.394752,4.931346
1022,02.03.2021,Woninginbraak,52.394752,4.931346
1023,10.05.2021,Poging tot woninginbraak,52.387063,4.953244
1023,22.03.2021,Woninginbraak,52.387063,4.953244
1024,27.02.2021,Woninginbraak,52.393854,4.953788
1025,13.05.2021,Woninginbraak,52.39941,4.93381
1025,29.04.2021,Woninginbraak,52.39941,4.93381
1025,23.04.2021,Woninginbraak,52.39941,4.93381
1025,02.04.2021,Poging tot woninginbraak,52.39941,4.93381
1025,30.03.2021,Woninginbraak,52.39941,4.93381
1025,03.03.2021,Woninginbraak,52.39941,4.93381
1031,02.05.2021,Woninginbraak,52.389253,4.905927
1032,03.05.2021,Woninginbraak,52.397118,4.911383
1032,01.04.2021,Poging tot woninginbraak,52.397118,4.911383
1033,01.05.2021,Poging tot woninginbraak,52.409871,4.888163
1033,12.03.2021,Poging tot woninginbraak,52.409871,4.888163
1034,21.05.2021,Poging tot woninginbraak,52.406882,4.915959
1034,12.05.2021,Poging tot woninginbraak,52.406882,4.915959
1034,26.04.2021,Woninginbraak,52.406882,4.915959
1034,21.04.2021,Woninginbraak,52.406882,4.915959
1034,08.04.2021,Woninginbraak,52.406882,4.915959
1035,08.05.2021,Poging tot woninginbraak,52.41768,4.894335
1035,03.05.2021,Woninginbraak,52.41768,4.894335
1035,22.04.2021,Woninginbraak,52.41768,4.894335
1035,19.04.2021,Poging tot woninginbraak,52.41768,4.894335
1035,19.04.2021,Woninginbraak,52.41768,4.894335
1035,09.04.2021,Woninginbraak,52.41768,4.894335
1035,07.04.2021,Woninginbraak,52.41768,4.894335
1035,04.04.2021,Poging tot woninginbraak,52.41768,4.894335
1035,29.03.2021,Poging tot woninginbraak,52.41768,4.894335
1035,24.03.2021,Poging tot woninginbraak,52.41768,4.894335
1035,20.03.2021,Woninginbraak,52.41768,4.894335
1035,17.03.2021,Woninginbraak,52.41768,4.894335
1035,13.03.2021,Woninginbraak,52.41768,4.894335
1036,21.04.2021,Woninginbraak,52.35295,4.998904
1051,30.04.2021,Woninginbraak,52.381052,4.869029
1051,22.04.2021,Woninginbraak,52.381052,4.869029
1051,15.04.2021,Woninginbraak,52.381052,4.869029
1051,08.04.2021,Poging tot woninginbraak,52.381052,4.869029
1051,11.03.2021,Woninginbraak,52.381052,4.869029
1051,02.03.2021,Poging tot woninginbraak,52.381052,4.869029
1051,27.02.2021,Woninginbraak,52.381052,4.869029
1052,18.05.2021,Woninginbraak,52.376904,4.873994
1052,23.04.2021,Woninginbraak,52.376904,4.873994
1053,25.05.2021,Woninginbraak,52.367002,4.868313
1053,21.05.2021,Woninginbraak,52.367002,4.868313
1053,11.05.2021,Woninginbraak,52.367002,4.868313
1053,06.05.2021,Woninginbraak,52.367002,4.868313
1053,23.04.2021,Poging tot woninginbraak,52.367002,4.868313
1053,15.04.2021,Woninginbraak,52.367002,4.868313
1053,05.04.2021,Woninginbraak,52.367002,4.868313
1053,02.04.2021,Woninginbraak,52.367002,4.868313
1053,01.04.2021,Woninginbraak,52.367002,4.868313
1053,19.03.2021,Woninginbraak,52.367002,4.868313
1053,19.03.2021,Woninginbraak,52.367002,4.868313
1054,23.05.2021,Poging tot woninginbraak,52.361543,4.868408
1054,22.05.2021,Woninginbraak,52.361543,4.868408
1054,19.05.2021,Woninginbraak,52.361543,4.868408
1054,16.05.2021,Poging tot woninginbraak,52.361543,4.868408
1054,16.05.2021,Woninginbraak,52.361543,4.868408
1054,13.05.2021,Woninginbraak,52.361543,4.868408
1054,10.05.2021,Woninginbraak,52.361543,4.868408
1054,24.04.2021,Woninginbraak,52.361543,4.868408
1054,22.04.2021,Woninginbraak,52.361543,4.868408
1054,12.04.2021,Woninginbraak,52.361543,4.868408
1054,11.04.2021,Poging tot woninginbraak,52.361543,4.868408
1054,08.04.2021,Woninginbraak,52.361543,4.868408
1054,28.03.2021,Woninginbraak,52.361543,4.868408
1054,16.03.2021,Woninginbraak,52.361543,4.868408
1054,04.03.2021,Woninginbraak,52.361543,4.868408
1055,14.05.2021,Woninginbraak,52.380377,4.85277
1055,09.03.2021,Woninginbraak,52.380377,4.85277
1055,05.03.2021,Woninginbraak,52.380377,4.85277
1056,15.05.2021,Woninginbraak,52.373261,4.854285
1056,10.05.2021,Poging tot woninginbraak,52.373261,4.854285
1056,02.05.2021,Woninginbraak,52.373261,4.854285
1056,28.04.2021,Woninginbraak,52.373261,4.854285
1056,27.04.2021,Woninginbraak,52.373261,4.854285
1056,21.04.2021,Woninginbraak,52.373261,4.854285
1056,24.03.2021,Woninginbraak,52.373261,4.854285
1056,23.03.2021,Woninginbraak,52.373261,4.854285
1056,26.02.2021,Poging tot woninginbraak,52.373261,4.854285
1057,12.05.2021,Woninginbraak,52.367438,4.853474
1057,01.05.2021,Woninginbraak,52.367438,4.853474
1057,02.04.2021,Woninginbraak,52.367438,4.853474
1057,28.03.2021,Woninginbraak,52.367438,4.853474
1058,05.05.2021,Woninginbraak,52.358118,4.849061
1058,02.05.2021,Woninginbraak,52.358118,4.849061
1058,01.05.2021,Woninginbraak,52.358118,4.849061
1058,23.04.2021,Poging tot woninginbraak,52.358118,4.849061
1058,10.04.2021,Woninginbraak,52.358118,4.849061
1058,02.04.2021,Woninginbraak,52.358118,4.849061
1058,23.03.2021,Poging tot woninginbraak,52.358118,4.849061
1059,24.05.2021,Woninginbraak,52.345746,4.846104
1059,21.05.2021,Poging tot woninginbraak,52.345746,4.846104
1059,21.05.2021,Woninginbraak,52.345746,4.846104
1059,20.05.2021,Poging tot woninginbraak,52.345746,4.846104
1059,18.05.2021,Poging tot woninginbraak,52.345746,4.846104
1059,18.05.2021,Woninginbraak,52.345746,4.846104
1059,08.04.2021,Woninginbraak,52.345746,4.846104
1059,24.03.2021,Woninginbraak,52.345746,4.846104
1061,09.04.2021,Woninginbraak,52.373183,4.839742
1061,05.03.2021,Woninginbraak,52.373183,4.839742
1071,15.05.2021,Woninginbraak,52.356196,4.877541
1071,27.04.2021,Woninginbraak,52.356196,4.877541
1071,23.03.2021,Poging tot woninginbraak,52.356196,4.877541
1072,14.05.2021,Poging tot woninginbraak,52.353448,4.891524
1072,22.04.2021,Woninginbraak,52.353448,4.891524
1072,13.04.2021,Poging tot woninginbraak,52.353448,4.891524
1072,02.04.2021,Woninginbraak,52.353448,4.891524
1072,03.03.2021,Woninginbraak,52.353448,4.891524
1073,24.05.2021,Woninginbraak,52.353144,4.897931
1073,24.05.2021,Woninginbraak,52.353144,4.897931
1073,04.05.2021,Woninginbraak,52.353144,4.897931
1073,02.05.2021,Woninginbraak,52.353144,4.897931
1073,13.04.2021,Woninginbraak,52.353144,4.897931
1073,11.04.2021,Woninginbraak,52.353144,4.897931
1073,26.03.2021,Woninginbraak,52.353144,4.897931
1074,15.05.2021,Woninginbraak,52.35384,4.90465
1074,02.05.2021,Woninginbraak,52.35384,4.90465
1074,20.03.2021,Poging tot woninginbraak,52.35384,4.90465
1075,20.05.2021,Poging tot woninginbraak,52.068031,4.273112
1075,16.05.2021,Poging tot woninginbraak,52.068031,4.273112
1075,16.05.2021,Woninginbraak,52.068031,4.273112
1075,13.05.2021,Woninginbraak,52.068031,4.273112
1075,28.04.2021,Woninginbraak,52.068031,4.273112
1076,05.05.2021,Woninginbraak,52.343513,4.858411
1076,10.04.2021,Woninginbraak,52.343513,4.858411
1076,08.04.2021,Woninginbraak,52.343513,4.858411
1076,08.04.2021,Woninginbraak,52.343513,4.858411
1076,13.03.2021,Woninginbraak,52.343513,4.858411
1076,04.03.2021,Poging tot woninginbraak,52.343513,4.858411
1076,03.03.2021,Poging tot woninginbraak,52.343513,4.858411
1077,25.05.2021,Poging tot woninginbraak,52.31624,4.981479
1077,20.05.2021,Woninginbraak,52.31624,4.981479
1077,12.05.2021,Woninginbraak,52.31624,4.981479
1077,05.05.2021,Woninginbraak,52.31624,4.981479
1077,14.03.2021,Woninginbraak,52.31624,4.981479
1077,06.03.2021,Woninginbraak,52.31624,4.981479
