,Address,Postcode,Size in m²,Rooms,Prize in €,Price/Sqm,Latitude,Longitude
0,Brouwersgracht 248 F                       , 1013 HE ,62.0,2,2500.0,40.32258064516129,52.382417,4.885611
1,Krijn Breurstraat 7                       , 1064 SX ,94.0,3,3000.0,31.914893617021278,52.378049,4.823713
2,Cliffordstraat                       , 1051 GS ,50.0,2,2000.0,40.0,52.383771,4.871866000000002
3,Baarsjesweg                       , 1058 AG ,60.0,3,4000.0,66.66666666666667,52.367455,4.862214
4,Jan Olphert Vaillantlaan                       , 1086 ZA ,150.0,4,2500.0,16.666666666666668,52.362457,4.979589
5,Koningin Wilhelminaplein                       , 1062 HJ ,62.0,2,2150.0,34.67741935483871,52.356321,4.838934
6,Jan van Zutphenstraat 779                       , 1069 RS ,98.0,2,3500.0,35.714285714285715,52.349665,4.797743
7,James Wattstraat                       , 1097 DL ,62.0,2,3500.0,56.45161290322582,52.35008,4.922676
8,Dintelstraat                       , 1078 VX ,80.0,3,3950.0,49.375,52.341869,4.89344
9,Van Eeghenstraat                       , 1071 GE ,130.0,5,4700.0,36.153846153846146,52.356458,4.869726
10,Arent Janszoon Ernststraat                       , 1082 LD ,30.0,1,2500.0,83.33333333333333,52.332122,4.888758
11,Mauvestraat 47 I                       , 1073 RH ,60.0,3,2500.0,41.66666666666666,52.349873,4.903033
12,Lauriergracht                       , 1016 RK ,90.0,5,5000.0,55.55555555555557,52.371294,4.879935
13,Kuipersstraat                       , 1073 ER ,40.0,1,2150.0,53.75,52.353543,4.902691
14,De Wittenkade 97 A                       , 1052 AG ,61.0,3,3050.0,50.0,52.38313,4.877624
15,Millingenhof 233                       , 1106 KP ,125.0,4,2000.0,16.0,52.295758,4.969133
16,Eerste Helmersstraat                       , 1054 DS ,58.0,3,3500.0,60.3448275862069,52.363891,4.876734
17,Rooseveltlaan 167 III                       , 1079 AM ,118.0,4,5000.0,42.3728813559322,52.343066,4.897824
18,Geelvinckssteeg 6 3                       , 1017 BE ,85.0,3,2500.0,29.411764705882355,52.366516,4.891502
19,Frederiksstraat                       , 1054 LB ,45.0,2,3000.0,66.66666666666667,52.358039,4.859196
20,Korte Keizersstraat                       , 1011 GH ,33.0,2,2350.0,71.21212121212122,52.371387,4.9025300000000005
21,Wilhelminastraat                       , 1054 WH ,75.0,3,2000.0,26.66666666666667,52.361416,4.862565
22,Kleine Houtstraat                       , 1013 HN ,94.0,3,3500.0,37.23404255319149,52.384635,4.884627
23,Lambertus Zijlplein 35                       , 1067 JR ,84.0,3,2000.0,23.809523809523807,52.378507,4.801399
24,Stadionweg                       , 1077 SR ,80.0,3,2500.0,31.25,52.345615,4.859659
25,Prinsengracht                       , 1016 HJ ,35.0,1,1700.0,48.57142857142857,52.362122,4.898975
26,Wilhelminastraat 28 2                       , 1054 WJ ,52.0,2,2500.0,48.07692307692307,52.362398,4.86615
27,Keizersgracht 735 II                       , 1017 DZ ,83.0,2,3500.0,42.16867469879518,52.364293,4.899411
28,Kromme-Mijdrechtstraat                       , 1079 KR ,60.0,2,3500.0,58.33333333333334,52.347187,4.908138
29,Legmeerplein                       , 1058 NL ,65.0,3,3000.0,46.153846153846146,52.35308300000001,4.851792
30,Andersensingel                       , 1102 VS ,55.0,2,2300.0,41.81818181818182,52.321532,4.943245
31,Czaar Peterstraat 149 3                       , 1018 PH ,60.0,4,2000.0,33.333333333333336,52.370888,4.930453
32,Bolestein 546 A                       , 1081 EJ ,88.0,3,2800.0,31.818181818181817,52.324934000000006,4.859314
33,Backershagen                       , 1082 GR ,130.0,4,5000.0,38.46153846153846,52.324708,4.875113
34,Van Nijenrodeweg                       , 1083 EK ,90.0,4,3000.0,33.333333333333336,52.327337,4.858141000000002
35,Visseringstraat                       , 1051 KG ,86.0,3,4450.0,51.74418604651163,52.3775,4.869694
